old_commit	new_commit	subject
601cb305d354ea69734d31b6a3e4db81737373c4	601cb305d354ea69734d31b6a3e4db81737373c4	Run faithful HCLD autoencoder on A100
a0ea1b657bab714bf0395777c81ddb00d90d174f	a0ea1b657bab714bf0395777c81ddb00d90d174f	Disable HCLD nonlocal attention by default
bd4e229625a7c9a845e1c5d6a90be05f19fa8b26	bd4e229625a7c9a845e1c5d6a90be05f19fa8b26	Make HCLD autoencoder attention optional
33ebe264a1eff0c1fc4e854b88a68658dba006b7	33ebe264a1eff0c1fc4e854b88a68658dba006b7	Allow HCLD autoencoder training on V100
05e826fa05463a1125293ab75cf8616f1bee0e61	05e826fa05463a1125293ab75cf8616f1bee0e61	Add HCLD autoencoder training wrapper
d39d424f12a1e5df5e0ee9813fc3064687a4491b	d39d424f12a1e5df5e0ee9813fc3064687a4491b	Handle metadata keys in HCLD split export
480a34dfc7b145bb52844dbb42825bdde7b4112b	480a34dfc7b145bb52844dbb42825bdde7b4112b	Add HCLD data prep and diffusion resume
1a72a76de75d0313a92c525a83fb9fd4009a0a3f	1a72a76de75d0313a92c525a83fb9fd4009a0a3f	Add diffusion img2img Slurm baseline
80812c09c47e1eb3c64d858ff99aa6e35be6451f	80812c09c47e1eb3c64d858ff99aa6e35be6451f	Add DLEST-style disentangled baseline
8d1f8fd6f911b114fdf89f63db8d0b22a96a374a	8d1f8fd6f911b114fdf89f63db8d0b22a96a374a	Add StarGAN multidomain baseline
42f25ec018147447ec9810826d031cef065726e7	42f25ec018147447ec9810826d031cef065726e7	Add histogram and CycleGAN baselines
